,baan,finish,time_of_race,date,venue,event_name
0,3,428.15,09:10,3 juni 2023,bosbaan,arb
1,4,451.56,09:10,3 juni 2023,bosbaan,arb
2,2,482.55,09:10,3 juni 2023,bosbaan,arb
3,5,483.44,09:10,3 juni 2023,bosbaan,arb
4,4,441.92,09:15,3 juni 2023,bosbaan,arb
5,2,455.75,09:15,3 juni 2023,bosbaan,arb
6,5,464.69,09:15,3 juni 2023,bosbaan,arb
7,3,478.11,09:15,3 juni 2023,bosbaan,arb
8,3,425.69,09:20,3 juni 2023,bosbaan,arb
9,2,427.74,09:20,3 juni 2023,bosbaan,arb
10,1,430.79,09:20,3 juni 2023,bosbaan,arb
11,4,435.16,09:20,3 juni 2023,bosbaan,arb
12,5,448.16,09:20,3 juni 2023,bosbaan,arb
13,2,428.22,09:25,3 juni 2023,bosbaan,arb
14,6,436.84,09:25,3 juni 2023,bosbaan,arb
15,4,439.97,09:25,3 juni 2023,bosbaan,arb
16,1,442.84,09:25,3 juni 2023,bosbaan,arb
17,5,462.19,09:25,3 juni 2023,bosbaan,arb
18,3,482.15,09:25,3 juni 2023,bosbaan,arb
19,6,450.01,09:30,3 juni 2023,bosbaan,arb
20,1,451.02,09:30,3 juni 2023,bosbaan,arb
21,3,451.8,09:30,3 juni 2023,bosbaan,arb
22,5,452.36,09:30,3 juni 2023,bosbaan,arb
23,4,453.68,09:30,3 juni 2023,bosbaan,arb
24,2,475.79,09:30,3 juni 2023,bosbaan,arb
25,6,450.76,09:35,3 juni 2023,bosbaan,arb
26,4,457.03,09:35,3 juni 2023,bosbaan,arb
27,1,460.25,09:35,3 juni 2023,bosbaan,arb
28,5,466.95,09:35,3 juni 2023,bosbaan,arb
29,3,470.32,09:35,3 juni 2023,bosbaan,arb
30,2,485.38,09:35,3 juni 2023,bosbaan,arb
31,2,471.87,09:40,3 juni 2023,bosbaan,arb
32,5,478.22,09:40,3 juni 2023,bosbaan,arb
33,3,485.47,09:40,3 juni 2023,bosbaan,arb
34,4,489.85,09:40,3 juni 2023,bosbaan,arb
35,5,475.65,09:45,3 juni 2023,bosbaan,arb
36,2,486.17,09:45,3 juni 2023,bosbaan,arb
37,3,495.96,09:45,3 juni 2023,bosbaan,arb
38,4,501.56,09:45,3 juni 2023,bosbaan,arb
39,4,492.93,09:50,3 juni 2023,bosbaan,arb
40,2,498.32,09:50,3 juni 2023,bosbaan,arb
41,5,502.03,09:50,3 juni 2023,bosbaan,arb
42,1,510.78,09:50,3 juni 2023,bosbaan,arb
43,3,519.87,09:50,3 juni 2023,bosbaan,arb
44,2,480.64,09:55,3 juni 2023,bosbaan,arb
45,5,485.52,09:55,3 juni 2023,bosbaan,arb
46,4,490.57,09:55,3 juni 2023,bosbaan,arb
47,3,493.49,09:55,3 juni 2023,bosbaan,arb
48,5,487.32,10:00,3 juni 2023,bosbaan,arb
