,baan,finish,time_of_race,date,venue,event_name
0,2,393.09,", 9:0","June 24, 2023",bosbaan,hollandbeker
1,1,393.96,", 9:0","June 24, 2023",bosbaan,hollandbeker
2,4,406.15,", 9:0","June 24, 2023",bosbaan,hollandbeker
3,3,411.29,", 9:0","June 24, 2023",bosbaan,hollandbeker
4,2,399.37,", 9:0","June 24, 2023",bosbaan,hollandbeker
5,4,407.4,", 9:0","June 24, 2023",bosbaan,hollandbeker
6,3,410.55,", 9:0","June 24, 2023",bosbaan,hollandbeker
7,1,431.09,", 9:0","June 24, 2023",bosbaan,hollandbeker
8,1,483.43,", 9:1","June 24, 2023",bosbaan,hollandbeker
9,4,488.68,", 9:1","June 24, 2023",bosbaan,hollandbeker
10,2,504.13,", 9:1","June 24, 2023",bosbaan,hollandbeker
11,5,505.24,", 9:1","June 24, 2023",bosbaan,hollandbeker
12,3,518.2,", 9:1","June 24, 2023",bosbaan,hollandbeker
13,3,490.75,", 9:1","June 24, 2023",bosbaan,hollandbeker
14,5,499.91,", 9:1","June 24, 2023",bosbaan,hollandbeker
15,4,501.08,", 9:1","June 24, 2023",bosbaan,hollandbeker
16,6,515.39,", 9:1","June 24, 2023",bosbaan,hollandbeker
17,2,523.35,", 9:1","June 24, 2023",bosbaan,hollandbeker
18,1,700.45,", 9:1","June 24, 2023",bosbaan,hollandbeker
19,1,429.63,", 9:2","June 24, 2023",bosbaan,hollandbeker
20,2,434.05,", 9:2","June 24, 2023",bosbaan,hollandbeker
21,3,439.45,", 9:2","June 24, 2023",bosbaan,hollandbeker
22,4,493.17,", 9:2","June 24, 2023",bosbaan,hollandbeker
23,2,440.83,", 9:2","June 24, 2023",bosbaan,hollandbeker
24,3,443.51,", 9:2","June 24, 2023",bosbaan,hollandbeker
25,4,445.1,", 9:2","June 24, 2023",bosbaan,hollandbeker
26,1,539.14,", 9:2","June 24, 2023",bosbaan,hollandbeker
27,3,432.01,", 9:3","June 24, 2023",bosbaan,hollandbeker
28,6,437.92,", 9:3","June 24, 2023",bosbaan,hollandbeker
29,5,446.04,", 9:3","June 24, 2023",bosbaan,hollandbeker
30,2,452.82,", 9:3","June 24, 2023",bosbaan,hollandbeker
31,4,475.09,", 9:3","June 24, 2023",bosbaan,hollandbeker
32,3,425.76,", 9:3","June 24, 2023",bosbaan,hollandbeker
33,4,446.99,", 9:3","June 24, 2023",bosbaan,hollandbeker
34,5,449.65,", 9:3","June 24, 2023",bosbaan,hollandbeker
35,6,465.24,", 9:3","June 24, 2023",bosbaan,hollandbeker
36,2,497.05,", 9:3","June 24, 2023",bosbaan,hollandbeker
37,2,402.53,", 9:4","June 24, 2023",bosbaan,hollandbeker
38,4,404.66,", 9:4","June 24, 2023",bosbaan,hollandbeker
39,1,420.94,", 9:4","June 24, 2023",bosbaan,hollandbeker
40,3,436.8,", 9:4","June 24, 2023",bosbaan,hollandbeker
41,1,398.81,", 9:4","June 24, 2023",bosbaan,hollandbeker
42,4,423.03,", 9:4","June 24, 2023",bosbaan,hollandbeker
43,3,425.59,", 9:4","June 24, 2023",bosbaan,hollandbeker
44,3,406.01,", 9:5","June 24, 2023",bosbaan,hollandbeker
45,2,408.71,", 9:5","June 24, 2023",bosbaan,hollandbeker
46,4,416.25,", 9:5","June 24, 2023",bosbaan,hollandbeker
47,5,416.97,", 9:5","June 24, 2023",bosbaan,hollandbeker
48,1,418.42,", 9:5","June 24, 2023",bosbaan,hollandbeker
49,2,419.49,", 9:5","June 24, 2023",bosbaan,hollandbeker
50,3,446.09,", 9:5","June 24, 2023",bosbaan,hollandbeker
51,1,446.77,", 9:5","June 24, 2023",bosbaan,hollandbeker
52,1,416.46,", 10:","June 24, 2023",bosbaan,hollandbeker
53,2,437.01,", 10:","June 24, 2023",bosbaan,hollandbeker
54,4,443.83,", 10:","June 24, 2023",bosbaan,hollandbeker
55,3,445.62,", 10:","June 24, 2023",bosbaan,hollandbeker
56,6,390.82,", 10:","June 24, 2023",bosbaan,hollandbeker
57,5,395.15,", 10:","June 24, 2023",bosbaan,hollandbeker
58,1,401.0,", 10:","June 24, 2023",bosbaan,hollandbeker
59,4,401.95,", 10:","June 24, 2023",bosbaan,hollandbeker
60,3,416.23,", 10:","June 24, 2023",bosbaan,hollandbeker
61,2,442.17,", 10:","June 24, 2023",bosbaan,hollandbeker
62,2,408.92,", 10:","June 24, 2023",bosbaan,hollandbeker
63,4,418.13,", 10:","June 24, 2023",bosbaan,hollandbeker
64,6,432.05,", 10:","June 24, 2023",bosbaan,hollandbeker
65,1,435.48,", 10:","June 24, 2023",bosbaan,hollandbeker
66,3,451.08,", 10:","June 24, 2023",bosbaan,hollandbeker
67,5,459.12,", 10:","June 24, 2023",bosbaan,hollandbeker
68,3,359.25,", 10:","June 24, 2023",bosbaan,hollandbeker
69,4,367.31,", 10:","June 24, 2023",bosbaan,hollandbeker
70,1,391.43,", 10:","June 24, 2023",bosbaan,hollandbeker
71,2,397.16,", 10:","June 24, 2023",bosbaan,hollandbeker
72,3,360.16,", 10:","June 24, 2023",bosbaan,hollandbeker
73,2,363.09,", 10:","June 24, 2023",bosbaan,hollandbeker
74,1,365.03,", 10:","June 24, 2023",bosbaan,hollandbeker
75,5,368.71,", 10:","June 24, 2023",bosbaan,hollandbeker
76,4,380.16,", 10:","June 24, 2023",bosbaan,hollandbeker
77,3,420.21,", 10:","June 24, 2023",bosbaan,hollandbeker
78,5,430.65,", 10:","June 24, 2023",bosbaan,hollandbeker
79,2,438.13,", 10:","June 24, 2023",bosbaan,hollandbeker
80,4,463.31,", 10:","June 24, 2023",bosbaan,hollandbeker
81,3,431.22,", 10:","June 24, 2023",bosbaan,hollandbeker
82,6,431.69,", 10:","June 24, 2023",bosbaan,hollandbeker
83,5,451.14,", 10:","June 24, 2023",bosbaan,hollandbeker
84,4,464.0,", 10:","June 24, 2023",bosbaan,hollandbeker
85,6,429.84,", 11:","June 24, 2023",bosbaan,hollandbeker
86,3,433.61,", 11:","June 24, 2023",bosbaan,hollandbeker
87,2,435.45,", 11:","June 24, 2023",bosbaan,hollandbeker
88,5,442.43,", 11:","June 24, 2023",bosbaan,hollandbeker
89,4,452.7,", 11:","June 24, 2023",bosbaan,hollandbeker
90,3,389.3,", 11:","June 24, 2023",bosbaan,hollandbeker
91,2,391.43,", 11:","June 24, 2023",bosbaan,hollandbeker
92,1,422.67,", 11:","June 24, 2023",bosbaan,hollandbeker
93,2,395.74,", 11:","June 24, 2023",bosbaan,hollandbeker
94,1,400.34,", 11:","June 24, 2023",bosbaan,hollandbeker
95,3,404.94,", 11:","June 24, 2023",bosbaan,hollandbeker
96,4,406.89,", 11:","June 24, 2023",bosbaan,hollandbeker
97,5,456.45,", 11:","June 24, 2023",bosbaan,hollandbeker
98,6,463.73,", 11:","June 24, 2023",bosbaan,hollandbeker
99,2,468.62,", 11:","June 24, 2023",bosbaan,hollandbeker
100,3,478.26,", 11:","June 24, 2023",bosbaan,hollandbeker
101,4,487.21,", 11:","June 24, 2023",bosbaan,hollandbeker
102,3,451.94,", 11:","June 24, 2023",bosbaan,hollandbeker
103,4,463.79,", 11:","June 24, 2023",bosbaan,hollandbeker
104,2,479.57,", 11:","June 24, 2023",bosbaan,hollandbeker
105,5,489.59,", 11:","June 24, 2023",bosbaan,hollandbeker
106,6,502.28,", 11:","June 24, 2023",bosbaan,hollandbeker
107,5,455.76,", 11:","June 24, 2023",bosbaan,hollandbeker
108,1,457.07,", 11:","June 24, 2023",bosbaan,hollandbeker
109,3,464.83,", 11:","June 24, 2023",bosbaan,hollandbeker
110,4,481.36,", 11:","June 24, 2023",bosbaan,hollandbeker
111,6,489.34,", 11:","June 24, 2023",bosbaan,hollandbeker
112,2,502.13,", 11:","June 24, 2023",bosbaan,hollandbeker
113,6,464.93,", 11:","June 24, 2023",bosbaan,hollandbeker
114,1,475.96,", 11:","June 24, 2023",bosbaan,hollandbeker
115,3,483.96,", 11:","June 24, 2023",bosbaan,hollandbeker
116,2,487.71,", 11:","June 24, 2023",bosbaan,hollandbeker
117,4,496.21,", 11:","June 24, 2023",bosbaan,hollandbeker
118,5,509.36,", 11:","June 24, 2023",bosbaan,hollandbeker
119,2,424.42,", 11:","June 24, 2023",bosbaan,hollandbeker
120,5,429.14,", 11:","June 24, 2023",bosbaan,hollandbeker
121,4,452.0,", 11:","June 24, 2023",bosbaan,hollandbeker
122,3,457.18,", 11:","June 24, 2023",bosbaan,hollandbeker
123,6,470.19,", 11:","June 24, 2023",bosbaan,hollandbeker
124,2,421.58,", 11:","June 24, 2023",bosbaan,hollandbeker
125,6,425.12,", 11:","June 24, 2023",bosbaan,hollandbeker
126,3,432.43,", 11:","June 24, 2023",bosbaan,hollandbeker
127,5,433.83,", 11:","June 24, 2023",bosbaan,hollandbeker
128,4,454.04,", 11:","June 24, 2023",bosbaan,hollandbeker
129,4,418.1,", 11:","June 24, 2023",bosbaan,hollandbeker
130,2,422.46,", 11:","June 24, 2023",bosbaan,hollandbeker
131,5,433.94,", 11:","June 24, 2023",bosbaan,hollandbeker
132,3,442.11,", 11:","June 24, 2023",bosbaan,hollandbeker
133,6,454.96,", 11:","June 24, 2023",bosbaan,hollandbeker
134,4,419.09,", 11:","June 24, 2023",bosbaan,hollandbeker
135,5,421.28,", 11:","June 24, 2023",bosbaan,hollandbeker
136,2,430.93,", 11:","June 24, 2023",bosbaan,hollandbeker
137,6,435.99,", 11:","June 24, 2023",bosbaan,hollandbeker
138,3,448.7,", 11:","June 24, 2023",bosbaan,hollandbeker
139,4,446.39,", 9:0","June 25, 2023",bosbaan,hollandbeker
140,1,468.02,", 9:0","June 25, 2023",bosbaan,hollandbeker
141,2,474.78,", 9:0","June 25, 2023",bosbaan,hollandbeker
142,3,485.0,", 9:0","June 25, 2023",bosbaan,hollandbeker
143,1,436.54,", 9:0","June 25, 2023",bosbaan,hollandbeker
144,4,441.91,", 9:0","June 25, 2023",bosbaan,hollandbeker
145,2,442.17,", 9:0","June 25, 2023",bosbaan,hollandbeker
146,5,449.77,", 9:0","June 25, 2023",bosbaan,hollandbeker
147,3,454.98,", 9:0","June 25, 2023",bosbaan,hollandbeker
148,2,468.46,", 9:1","June 25, 2023",bosbaan,hollandbeker
149,1,470.29,", 9:1","June 25, 2023",bosbaan,hollandbeker
150,3,490.69,", 9:1","June 25, 2023",bosbaan,hollandbeker
151,3,457.18,", 9:1","June 25, 2023",bosbaan,hollandbeker
152,4,466.55,", 9:1","June 25, 2023",bosbaan,hollandbeker
153,1,475.09,", 9:1","June 25, 2023",bosbaan,hollandbeker
154,2,483.3,", 9:1","June 25, 2023",bosbaan,hollandbeker
155,2,483.14,", 9:2","June 25, 2023",bosbaan,hollandbeker
156,1,494.53,", 9:2","June 25, 2023",bosbaan,hollandbeker
157,3,503.83,", 9:2","June 25, 2023",bosbaan,hollandbeker
158,2,459.88,", 9:2","June 25, 2023",bosbaan,hollandbeker
159,3,465.17,", 9:2","June 25, 2023",bosbaan,hollandbeker
160,4,473.81,", 9:2","June 25, 2023",bosbaan,hollandbeker
161,1,489.6,", 9:2","June 25, 2023",bosbaan,hollandbeker
162,3,436.19,", 9:3","June 25, 2023",bosbaan,hollandbeker
163,4,441.08,", 9:3","June 25, 2023",bosbaan,hollandbeker
164,2,453.61,", 9:3","June 25, 2023",bosbaan,hollandbeker
165,1,462.73,", 9:3","June 25, 2023",bosbaan,hollandbeker
166,4,425.95,", 9:3","June 25, 2023",bosbaan,hollandbeker
167,3,428.96,", 9:3","June 25, 2023",bosbaan,hollandbeker
168,1,430.46,", 9:3","June 25, 2023",bosbaan,hollandbeker
169,2,417.01,", 9:4","June 25, 2023",bosbaan,hollandbeker
170,3,429.98,", 9:4","June 25, 2023",bosbaan,hollandbeker
171,1,433.23,", 9:4","June 25, 2023",bosbaan,hollandbeker
172,2,419.06,", 9:4","June 25, 2023",bosbaan,hollandbeker
173,1,423.33,", 9:4","June 25, 2023",bosbaan,hollandbeker
174,3,434.36,", 9:4","June 25, 2023",bosbaan,hollandbeker
175,4,458.63,", 9:4","June 25, 2023",bosbaan,hollandbeker
176,4,474.74,", 9:5","June 25, 2023",bosbaan,hollandbeker
177,3,479.76,", 9:5","June 25, 2023",bosbaan,hollandbeker
178,2,486.92,", 9:5","June 25, 2023",bosbaan,hollandbeker
179,1,489.92,", 9:5","June 25, 2023",bosbaan,hollandbeker
180,4,469.7,", 9:5","June 25, 2023",bosbaan,hollandbeker
181,2,473.69,", 9:5","June 25, 2023",bosbaan,hollandbeker
182,3,481.43,", 9:5","June 25, 2023",bosbaan,hollandbeker
183,5,485.31,", 9:5","June 25, 2023",bosbaan,hollandbeker
184,1,501.09,", 9:5","June 25, 2023",bosbaan,hollandbeker
185,2,459.7,", 10:","June 25, 2023",bosbaan,hollandbeker
186,3,462.19,", 10:","June 25, 2023",bosbaan,hollandbeker
187,1,465.7,", 10:","June 25, 2023",bosbaan,hollandbeker
188,5,472.07,", 10:","June 25, 2023",bosbaan,hollandbeker
189,4,495.3,", 10:","June 25, 2023",bosbaan,hollandbeker
190,4,409.24,", 10:","June 25, 2023",bosbaan,hollandbeker
191,3,417.14,", 10:","June 25, 2023",bosbaan,hollandbeker
192,1,420.77,", 10:","June 25, 2023",bosbaan,hollandbeker
193,5,428.24,", 10:","June 25, 2023",bosbaan,hollandbeker
194,2,438.23,", 10:","June 25, 2023",bosbaan,hollandbeker
195,4,417.91,", 10:","June 25, 2023",bosbaan,hollandbeker
196,1,419.03,", 10:","June 25, 2023",bosbaan,hollandbeker
197,2,421.15,", 10:","June 25, 2023",bosbaan,hollandbeker
198,3,423.0,", 10:","June 25, 2023",bosbaan,hollandbeker
199,5,438.45,", 10:","June 25, 2023",bosbaan,hollandbeker
200,5,455.73,", 10:","June 25, 2023",bosbaan,hollandbeker
201,4,456.17,", 10:","June 25, 2023",bosbaan,hollandbeker
202,3,456.74,", 10:","June 25, 2023",bosbaan,hollandbeker
203,2,468.0,", 10:","June 25, 2023",bosbaan,hollandbeker
204,1,482.17,", 10:","June 25, 2023",bosbaan,hollandbeker
205,5,467.02,", 10:","June 25, 2023",bosbaan,hollandbeker
206,3,470.98,", 10:","June 25, 2023",bosbaan,hollandbeker
207,4,474.22,", 10:","June 25, 2023",bosbaan,hollandbeker
208,1,477.78,", 10:","June 25, 2023",bosbaan,hollandbeker
209,2,494.82,", 10:","June 25, 2023",bosbaan,hollandbeker
210,1,458.31,", 10:","June 25, 2023",bosbaan,hollandbeker
211,4,461.5,", 10:","June 25, 2023",bosbaan,hollandbeker
212,5,470.87,", 10:","June 25, 2023",bosbaan,hollandbeker
213,3,474.38,", 10:","June 25, 2023",bosbaan,hollandbeker
214,2,474.73,", 10:","June 25, 2023",bosbaan,hollandbeker
215,2,409.17,", 10:","June 25, 2023",bosbaan,hollandbeker
216,1,412.68,", 10:","June 25, 2023",bosbaan,hollandbeker
