,baan,finish,time_of_race,date,venue,event_name
0,4,427.25,09:50,22 april 2023,bosbaan,hollandia
1,3,430.0,09:50,22 april 2023,bosbaan,hollandia
2,2,432.0,09:50,22 april 2023,bosbaan,hollandia
3,5,441.81,09:50,22 april 2023,bosbaan,hollandia
4,5,432.58,09:55,22 april 2023,bosbaan,hollandia
5,6,434.69,09:55,22 april 2023,bosbaan,hollandia
6,2,435.31,09:55,22 april 2023,bosbaan,hollandia
7,3,438.74,09:55,22 april 2023,bosbaan,hollandia
8,4,450.97,09:55,22 april 2023,bosbaan,hollandia
9,5,425.73,10:00,22 april 2023,bosbaan,hollandia
10,6,427.61,10:00,22 april 2023,bosbaan,hollandia
11,3,428.77,10:00,22 april 2023,bosbaan,hollandia
12,2,435.88,10:00,22 april 2023,bosbaan,hollandia
13,4,440.87,10:00,22 april 2023,bosbaan,hollandia
14,6,373.38,10:05,22 april 2023,bosbaan,hollandia
15,5,379.23,10:05,22 april 2023,bosbaan,hollandia
16,3,379.98,10:05,22 april 2023,bosbaan,hollandia
17,2,383.55,10:05,22 april 2023,bosbaan,hollandia
18,4,386.31,10:05,22 april 2023,bosbaan,hollandia
19,6,371.5,10:10,22 april 2023,bosbaan,hollandia
20,5,375.11,10:10,22 april 2023,bosbaan,hollandia
21,3,380.76,10:10,22 april 2023,bosbaan,hollandia
22,2,386.49,10:10,22 april 2023,bosbaan,hollandia
23,4,409.05,10:10,22 april 2023,bosbaan,hollandia
24,4,369.07,10:15,22 april 2023,bosbaan,hollandia
25,5,372.23,10:15,22 april 2023,bosbaan,hollandia
26,2,375.25,10:15,22 april 2023,bosbaan,hollandia
27,3,377.64,10:15,22 april 2023,bosbaan,hollandia
28,6,378.63,10:15,22 april 2023,bosbaan,hollandia
29,1,397.81,10:15,22 april 2023,bosbaan,hollandia
30,5,385.55,10:30,22 april 2023,bosbaan,hollandia
31,4,390.41,10:30,22 april 2023,bosbaan,hollandia
32,6,399.39,10:30,22 april 2023,bosbaan,hollandia
33,3,401.08,10:30,22 april 2023,bosbaan,hollandia
34,2,404.01,10:30,22 april 2023,bosbaan,hollandia
35,4,378.4,10:35,22 april 2023,bosbaan,hollandia
36,6,378.93,10:35,22 april 2023,bosbaan,hollandia
37,5,390.6,10:35,22 april 2023,bosbaan,hollandia
38,3,396.69,10:35,22 april 2023,bosbaan,hollandia
39,2,399.03,10:35,22 april 2023,bosbaan,hollandia
40,6,380.26,10:40,22 april 2023,bosbaan,hollandia
41,4,383.34,10:40,22 april 2023,bosbaan,hollandia
42,5,394.02,10:40,22 april 2023,bosbaan,hollandia
43,3,397.93,10:40,22 april 2023,bosbaan,hollandia
44,2,400.51,10:40,22 april 2023,bosbaan,hollandia
45,5,459.45,10:45,22 april 2023,bosbaan,hollandia
46,3,469.15,10:45,22 april 2023,bosbaan,hollandia
47,6,469.52,10:45,22 april 2023,bosbaan,hollandia
48,2,477.88,10:45,22 april 2023,bosbaan,hollandia
49,4,484.86,10:45,22 april 2023,bosbaan,hollandia
50,1,469.69,10:50,22 april 2023,bosbaan,hollandia
51,5,473.52,10:50,22 april 2023,bosbaan,hollandia
52,4,476.36,10:50,22 april 2023,bosbaan,hollandia
53,3,476.62,10:50,22 april 2023,bosbaan,hollandia
54,2,483.7,10:50,22 april 2023,bosbaan,hollandia
55,6,485.66,10:50,22 april 2023,bosbaan,hollandia
56,6,483.76,10:55,22 april 2023,bosbaan,hollandia
57,4,487.35,10:55,22 april 2023,bosbaan,hollandia
58,2,489.38,10:55,22 april 2023,bosbaan,hollandia
59,5,489.7,10:55,22 april 2023,bosbaan,hollandia
60,1,490.9,10:55,22 april 2023,bosbaan,hollandia
61,3,491.45,10:55,22 april 2023,bosbaan,hollandia
62,5,431.93,11:00,22 april 2023,bosbaan,hollandia
63,2,435.26,11:00,22 april 2023,bosbaan,hollandia
64,4,437.26,11:00,22 april 2023,bosbaan,hollandia
65,3,444.67,11:00,22 april 2023,bosbaan,hollandia
66,4,438.19,11:05,22 april 2023,bosbaan,hollandia
67,5,440.61,11:05,22 april 2023,bosbaan,hollandia
68,3,448.87,11:05,22 april 2023,bosbaan,hollandia
69,2,474.06,11:05,22 april 2023,bosbaan,hollandia
70,2,473.23,13:15,22 april 2023,bosbaan,hollandia
71,4,482.68,13:15,22 april 2023,bosbaan,hollandia
72,5,484.43,13:15,22 april 2023,bosbaan,hollandia
73,3,489.62,13:15,22 april 2023,bosbaan,hollandia
74,3,468.94,13:20,22 april 2023,bosbaan,hollandia
75,4,471.16,13:20,22 april 2023,bosbaan,hollandia
