,baan,finish,time_of_race,date,venue,event_name
0,2,427.14,09:00,10 juni 2023,wab,nwr
1,6,429.46,09:00,10 juni 2023,wab,nwr
2,4,430.27,09:00,10 juni 2023,wab,nwr
3,3,437.42,09:00,10 juni 2023,wab,nwr
4,7,457.56,09:00,10 juni 2023,wab,nwr
5,5,464.5,09:00,10 juni 2023,wab,nwr
6,7,426.39,09:05,10 juni 2023,wab,nwr
7,3,429.71,09:05,10 juni 2023,wab,nwr
8,4,434.08,09:05,10 juni 2023,wab,nwr
9,5,439.58,09:05,10 juni 2023,wab,nwr
10,2,443.23,09:05,10 juni 2023,wab,nwr
11,1,443.48,09:05,10 juni 2023,wab,nwr
12,6,443.73,09:05,10 juni 2023,wab,nwr
13,3,466.98,09:10,10 juni 2023,wab,nwr
14,1,468.38,09:10,10 juni 2023,wab,nwr
15,7,471.49,09:10,10 juni 2023,wab,nwr
16,4,472.23,09:10,10 juni 2023,wab,nwr
17,2,483.59,09:10,10 juni 2023,wab,nwr
18,6,484.33,09:10,10 juni 2023,wab,nwr
19,5,490.76,09:10,10 juni 2023,wab,nwr
20,6,471.35,09:15,10 juni 2023,wab,nwr
21,7,473.92,09:15,10 juni 2023,wab,nwr
22,2,477.24,09:15,10 juni 2023,wab,nwr
23,5,479.53,09:15,10 juni 2023,wab,nwr
24,4,480.55,09:15,10 juni 2023,wab,nwr
25,8,503.92,09:15,10 juni 2023,wab,nwr
26,3,508.31,09:15,10 juni 2023,wab,nwr
27,5,442.7,09:20,10 juni 2023,wab,nwr
28,6,443.84,09:20,10 juni 2023,wab,nwr
29,3,444.92,09:20,10 juni 2023,wab,nwr
30,4,448.44,09:20,10 juni 2023,wab,nwr
31,7,450.04,09:20,10 juni 2023,wab,nwr
32,2,462.14,09:20,10 juni 2023,wab,nwr
33,5,427.53,09:25,10 juni 2023,wab,nwr
34,7,434.44,09:25,10 juni 2023,wab,nwr
35,2,437.64,09:25,10 juni 2023,wab,nwr
36,8,439.64,09:25,10 juni 2023,wab,nwr
37,4,442.8,09:25,10 juni 2023,wab,nwr
38,3,457.55,09:25,10 juni 2023,wab,nwr
39,6,470.26,09:25,10 juni 2023,wab,nwr
40,6,474.07,09:30,10 juni 2023,wab,nwr
41,3,489.37,09:30,10 juni 2023,wab,nwr
42,5,492.1,09:30,10 juni 2023,wab,nwr
43,4,495.22,09:30,10 juni 2023,wab,nwr
44,6,475.1,09:35,10 juni 2023,wab,nwr
45,7,478.12,09:35,10 juni 2023,wab,nwr
46,5,480.46,09:35,10 juni 2023,wab,nwr
47,3,489.17,09:35,10 juni 2023,wab,nwr
