,baan,finish,time_of_race,date,venue,event_name
0,2,441.43,08:00,15 juni 2019,wab,raceroei
1,5,443.91,08:00,15 juni 2019,wab,raceroei
2,3,446.77,08:00,15 juni 2019,wab,raceroei
3,8,448.22,08:00,15 juni 2019,wab,raceroei
4,6,456.92,08:00,15 juni 2019,wab,raceroei
5,7,457.39,08:00,15 juni 2019,wab,raceroei
6,4,467.83,08:00,15 juni 2019,wab,raceroei
7,4,440.86,08:05,15 juni 2019,wab,raceroei
8,8,444.5,08:05,15 juni 2019,wab,raceroei
9,5,444.97,08:05,15 juni 2019,wab,raceroei
10,2,444.98,08:05,15 juni 2019,wab,raceroei
11,3,445.3,08:05,15 juni 2019,wab,raceroei
12,6,458.87,08:05,15 juni 2019,wab,raceroei
13,7,471.77,08:05,15 juni 2019,wab,raceroei
14,3,450.98,08:10,15 juni 2019,wab,raceroei
15,7,451.37,08:10,15 juni 2019,wab,raceroei
16,2,452.62,08:10,15 juni 2019,wab,raceroei
17,6,457.66,08:10,15 juni 2019,wab,raceroei
18,5,465.3,08:10,15 juni 2019,wab,raceroei
19,4,471.28,08:10,15 juni 2019,wab,raceroei
20,8,447.71,08:15,15 juni 2019,wab,raceroei
21,2,452.03,08:15,15 juni 2019,wab,raceroei
22,6,453.51,08:15,15 juni 2019,wab,raceroei
23,7,453.76,08:15,15 juni 2019,wab,raceroei
24,4,459.52,08:15,15 juni 2019,wab,raceroei
25,3,464.53,08:15,15 juni 2019,wab,raceroei
26,5,470.4,08:15,15 juni 2019,wab,raceroei
27,4,488.35,08:20,15 juni 2019,wab,raceroei
28,5,491.91,08:20,15 juni 2019,wab,raceroei
29,6,507.87,08:20,15 juni 2019,wab,raceroei
30,7,524.56,08:20,15 juni 2019,wab,raceroei
31,3,527.11,08:20,15 juni 2019,wab,raceroei
32,6,498.3,08:25,15 juni 2019,wab,raceroei
33,4,507.24,08:25,15 juni 2019,wab,raceroei
34,7,510.0,08:25,15 juni 2019,wab,raceroei
35,3,510.71,08:25,15 juni 2019,wab,raceroei
36,5,517.09,08:25,15 juni 2019,wab,raceroei
37,7,504.88,08:30,15 juni 2019,wab,raceroei
38,2,509.64,08:30,15 juni 2019,wab,raceroei
39,3,511.64,08:30,15 juni 2019,wab,raceroei
40,4,514.35,08:30,15 juni 2019,wab,raceroei
41,5,540.24,08:30,15 juni 2019,wab,raceroei
42,6,559.59,08:30,15 juni 2019,wab,raceroei
43,3,503.45,08:35,15 juni 2019,wab,raceroei
44,6,505.82,08:35,15 juni 2019,wab,raceroei
45,7,509.67,08:35,15 juni 2019,wab,raceroei
46,4,511.93,08:35,15 juni 2019,wab,raceroei
47,5,512.39,08:35,15 juni 2019,wab,raceroei
48,2,528.63,08:35,15 juni 2019,wab,raceroei
49,5,503.46,08:40,15 juni 2019,wab,raceroei
50,7,505.03,08:40,15 juni 2019,wab,raceroei
51,6,505.36,08:40,15 juni 2019,wab,raceroei
52,2,515.93,08:40,15 juni 2019,wab,raceroei
53,4,517.32,08:40,15 juni 2019,wab,raceroei
54,3,530.98,08:40,15 juni 2019,wab,raceroei
55,7,561.28,08:45,15 juni 2019,wab,raceroei
56,3,567.52,08:45,15 juni 2019,wab,raceroei
57,2,571.96,08:45,15 juni 2019,wab,raceroei
58,6,580.0,08:45,15 juni 2019,wab,raceroei
59,4,596.07,08:45,15 juni 2019,wab,raceroei
60,5,658.68,08:45,15 juni 2019,wab,raceroei
61,6,548.19,08:50,15 juni 2019,wab,raceroei
62,7,558.14,08:50,15 juni 2019,wab,raceroei
63,4,559.65,08:50,15 juni 2019,wab,raceroei
64,5,570.3,08:50,15 juni 2019,wab,raceroei
65,3,581.76,08:50,15 juni 2019,wab,raceroei
66,2,585.31,08:50,15 juni 2019,wab,raceroei
67,2,555.68,08:55,15 juni 2019,wab,raceroei
68,4,556.14,08:55,15 juni 2019,wab,raceroei
69,3,559.01,08:55,15 juni 2019,wab,raceroei
70,7,571.0,08:55,15 juni 2019,wab,raceroei
71,6,573.16,08:55,15 juni 2019,wab,raceroei
72,5,576.13,08:55,15 juni 2019,wab,raceroei
73,3,517.08,09:00,15 juni 2019,wab,raceroei
74,5,518.47,09:00,15 juni 2019,wab,raceroei
75,6,519.56,09:00,15 juni 2019,wab,raceroei
76,2,528.6,09:00,15 juni 2019,wab,raceroei
77,7,540.26,09:00,15 juni 2019,wab,raceroei
78,4,569.63,09:00,15 juni 2019,wab,raceroei
79,3,497.53,09:05,15 juni 2019,wab,raceroei
80,5,503.46,09:05,15 juni 2019,wab,raceroei
81,4,514.14,09:05,15 juni 2019,wab,raceroei
82,6,515.35,09:05,15 juni 2019,wab,raceroei
83,7,533.88,09:05,15 juni 2019,wab,raceroei
84,2,537.92,09:05,15 juni 2019,wab,raceroei
85,2,484.79,09:10,15 juni 2019,wab,raceroei
86,7,488.46,09:10,15 juni 2019,wab,raceroei
87,3,488.84,09:10,15 juni 2019,wab,raceroei
88,4,498.83,09:10,15 juni 2019,wab,raceroei
89,5,502.99,09:10,15 juni 2019,wab,raceroei
90,6,497.98,09:10,15 juni 2019,wab,raceroei
91,7,452.48,09:35,15 juni 2019,wab,raceroei
92,2,460.77,09:35,15 juni 2019,wab,raceroei
93,4,464.65,09:35,15 juni 2019,wab,raceroei
94,3,481.62,09:35,15 juni 2019,wab,raceroei
95,1,483.89,09:35,15 juni 2019,wab,raceroei
96,8,489.96,09:35,15 juni 2019,wab,raceroei
97,6,492.34,09:35,15 juni 2019,wab,raceroei
98,5,502.92,09:35,15 juni 2019,wab,raceroei
99,4,461.93,09:40,15 juni 2019,wab,raceroei
100,3,466.81,09:40,15 juni 2019,wab,raceroei
101,5,467.4,09:40,15 juni 2019,wab,raceroei
102,1,476.42,09:40,15 juni 2019,wab,raceroei
103,8,481.93,09:40,15 juni 2019,wab,raceroei
104,7,486.67,09:40,15 juni 2019,wab,raceroei
105,2,497.37,09:40,15 juni 2019,wab,raceroei
106,6,506.64,09:40,15 juni 2019,wab,raceroei
107,4,467.12,09:45,15 juni 2019,wab,raceroei
108,2,476.05,09:45,15 juni 2019,wab,raceroei
109,3,477.76,09:45,15 juni 2019,wab,raceroei
110,7,481.83,09:45,15 juni 2019,wab,raceroei
111,8,486.25,09:45,15 juni 2019,wab,raceroei
112,1,487.83,09:45,15 juni 2019,wab,raceroei
113,5,496.28,09:45,15 juni 2019,wab,raceroei
114,6,498.13,09:45,15 juni 2019,wab,raceroei
115,3,456.34,09:55,15 juni 2019,wab,raceroei
116,5,462.94,09:55,15 juni 2019,wab,raceroei
117,2,463.58,09:55,15 juni 2019,wab,raceroei
118,6,471.86,09:55,15 juni 2019,wab,raceroei
119,7,472.58,09:55,15 juni 2019,wab,raceroei
120,8,483.44,09:55,15 juni 2019,wab,raceroei
121,4,496.44,09:55,15 juni 2019,wab,raceroei
122,8,460.74,10:00,15 juni 2019,wab,raceroei
123,1,463.74,10:00,15 juni 2019,wab,raceroei
124,4,467.0,10:00,15 juni 2019,wab,raceroei
125,6,470.37,10:00,15 juni 2019,wab,raceroei
126,3,471.82,10:00,15 juni 2019,wab,raceroei
127,2,479.04,10:00,15 juni 2019,wab,raceroei
128,7,480.23,10:00,15 juni 2019,wab,raceroei
