,baan,finish,time_of_race,date,venue,event_name
0,2,490.53,10:12,13 april 2024,bosbaan,voorjaarsregatta
1,3,496.13,10:12,13 april 2024,bosbaan,voorjaarsregatta
2,5,498.81,10:12,13 april 2024,bosbaan,voorjaarsregatta
3,4,524.29,10:12,13 april 2024,bosbaan,voorjaarsregatta
4,6,526.72,10:12,13 april 2024,bosbaan,voorjaarsregatta
5,6,494.96,10:17,13 april 2024,bosbaan,voorjaarsregatta
6,4,496.03,10:17,13 april 2024,bosbaan,voorjaarsregatta
7,3,500.01,10:17,13 april 2024,bosbaan,voorjaarsregatta
8,1,507.94,10:17,13 april 2024,bosbaan,voorjaarsregatta
9,2,509.48,10:17,13 april 2024,bosbaan,voorjaarsregatta
10,5,528.8,10:17,13 april 2024,bosbaan,voorjaarsregatta
11,2,494.63,10:22,13 april 2024,bosbaan,voorjaarsregatta
12,4,499.29,10:22,13 april 2024,bosbaan,voorjaarsregatta
13,1,500.83,10:22,13 april 2024,bosbaan,voorjaarsregatta
14,6,513.85,10:22,13 april 2024,bosbaan,voorjaarsregatta
15,3,519.29,10:22,13 april 2024,bosbaan,voorjaarsregatta
16,5,529.96,10:22,13 april 2024,bosbaan,voorjaarsregatta
17,3,445.65,10:27,13 april 2024,bosbaan,voorjaarsregatta
18,4,447.5,10:27,13 april 2024,bosbaan,voorjaarsregatta
19,2,448.6,10:27,13 april 2024,bosbaan,voorjaarsregatta
20,5,479.74,10:27,13 april 2024,bosbaan,voorjaarsregatta
21,3,444.89,10:32,13 april 2024,bosbaan,voorjaarsregatta
22,5,452.96,10:32,13 april 2024,bosbaan,voorjaarsregatta
23,4,455.24,10:32,13 april 2024,bosbaan,voorjaarsregatta
24,2,462.03,10:32,13 april 2024,bosbaan,voorjaarsregatta
25,4,455.37,10:37,13 april 2024,bosbaan,voorjaarsregatta
26,6,455.65,10:37,13 april 2024,bosbaan,voorjaarsregatta
27,5,456.37,10:37,13 april 2024,bosbaan,voorjaarsregatta
28,3,456.96,10:37,13 april 2024,bosbaan,voorjaarsregatta
29,2,468.35,10:37,13 april 2024,bosbaan,voorjaarsregatta
30,5,491.48,10:42,13 april 2024,bosbaan,voorjaarsregatta
31,4,491.64,10:42,13 april 2024,bosbaan,voorjaarsregatta
32,6,496.71,10:42,13 april 2024,bosbaan,voorjaarsregatta
33,3,497.25,10:42,13 april 2024,bosbaan,voorjaarsregatta
34,2,498.39,10:42,13 april 2024,bosbaan,voorjaarsregatta
35,6,476.17,10:47,13 april 2024,bosbaan,voorjaarsregatta
36,2,476.26,10:47,13 april 2024,bosbaan,voorjaarsregatta
37,5,486.13,10:47,13 april 2024,bosbaan,voorjaarsregatta
38,3,491.22,10:47,13 april 2024,bosbaan,voorjaarsregatta
39,4,491.44,10:47,13 april 2024,bosbaan,voorjaarsregatta
40,3,481.98,10:52,13 april 2024,bosbaan,voorjaarsregatta
41,2,483.48,10:52,13 april 2024,bosbaan,voorjaarsregatta
42,6,485.93,10:52,13 april 2024,bosbaan,voorjaarsregatta
43,5,523.48,10:52,13 april 2024,bosbaan,voorjaarsregatta
44,4,539.16,10:52,13 april 2024,bosbaan,voorjaarsregatta
45,2,481.17,10:57,13 april 2024,bosbaan,voorjaarsregatta
46,3,485.89,10:57,13 april 2024,bosbaan,voorjaarsregatta
47,6,496.06,10:57,13 april 2024,bosbaan,voorjaarsregatta
48,1,504.69,10:57,13 april 2024,bosbaan,voorjaarsregatta
49,4,505.45,10:57,13 april 2024,bosbaan,voorjaarsregatta
50,5,519.46,10:57,13 april 2024,bosbaan,voorjaarsregatta
51,6,440.54,11:02,13 april 2024,bosbaan,voorjaarsregatta
52,4,444.94,11:02,13 april 2024,bosbaan,voorjaarsregatta
53,2,446.57,11:02,13 april 2024,bosbaan,voorjaarsregatta
54,3,455.69,11:02,13 april 2024,bosbaan,voorjaarsregatta
55,5,461.73,11:02,13 april 2024,bosbaan,voorjaarsregatta
56,5,436.25,11:07,13 april 2024,bosbaan,voorjaarsregatta
57,4,438.05,11:07,13 april 2024,bosbaan,voorjaarsregatta
58,3,444.1,11:07,13 april 2024,bosbaan,voorjaarsregatta
59,6,462.48,11:07,13 april 2024,bosbaan,voorjaarsregatta
60,2,465.67,11:07,13 april 2024,bosbaan,voorjaarsregatta
61,6,439.16,11:12,13 april 2024,bosbaan,voorjaarsregatta
62,3,442.05,11:12,13 april 2024,bosbaan,voorjaarsregatta
63,5,445.24,11:12,13 april 2024,bosbaan,voorjaarsregatta
64,4,455.24,11:12,13 april 2024,bosbaan,voorjaarsregatta
65,2,462.81,11:12,13 april 2024,bosbaan,voorjaarsregatta
66,3,450.17,11:32,13 april 2024,bosbaan,voorjaarsregatta
67,4,473.57,11:32,13 april 2024,bosbaan,voorjaarsregatta
68,2,474.34,11:32,13 april 2024,bosbaan,voorjaarsregatta
69,5,480.72,11:32,13 april 2024,bosbaan,voorjaarsregatta
70,5,448.11,11:37,13 april 2024,bosbaan,voorjaarsregatta
71,6,451.26,11:37,13 april 2024,bosbaan,voorjaarsregatta
72,2,461.82,11:37,13 april 2024,bosbaan,voorjaarsregatta
73,3,473.12,11:37,13 april 2024,bosbaan,voorjaarsregatta
74,4,478.53,11:37,13 april 2024,bosbaan,voorjaarsregatta
75,2,460.79,11:42,13 april 2024,bosbaan,voorjaarsregatta
76,5,464.64,11:42,13 april 2024,bosbaan,voorjaarsregatta
77,3,481.14,11:42,13 april 2024,bosbaan,voorjaarsregatta
78,6,483.86,11:42,13 april 2024,bosbaan,voorjaarsregatta
79,4,492.78,11:42,13 april 2024,bosbaan,voorjaarsregatta
80,3,504.67,11:47,13 april 2024,bosbaan,voorjaarsregatta
81,4,518.18,11:47,13 april 2024,bosbaan,voorjaarsregatta
82,5,530.84,11:47,13 april 2024,bosbaan,voorjaarsregatta
83,4,518.34,11:52,13 april 2024,bosbaan,voorjaarsregatta
84,5,520.88,11:52,13 april 2024,bosbaan,voorjaarsregatta
85,2,523.88,11:52,13 april 2024,bosbaan,voorjaarsregatta
86,3,528.83,11:52,13 april 2024,bosbaan,voorjaarsregatta
87,3,422.25,11:57,13 april 2024,bosbaan,voorjaarsregatta
88,5,431.85,11:57,13 april 2024,bosbaan,voorjaarsregatta
89,6,436.25,11:57,13 april 2024,bosbaan,voorjaarsregatta
90,4,450.11,11:57,13 april 2024,bosbaan,voorjaarsregatta
91,2,467.1,11:57,13 april 2024,bosbaan,voorjaarsregatta
92,2,428.73,12:02,13 april 2024,bosbaan,voorjaarsregatta
93,3,428.8,12:02,13 april 2024,bosbaan,voorjaarsregatta
94,5,438.29,12:02,13 april 2024,bosbaan,voorjaarsregatta
95,4,449.09,12:02,13 april 2024,bosbaan,voorjaarsregatta
96,6,459.78,12:02,13 april 2024,bosbaan,voorjaarsregatta
97,2,419.75,12:07,13 april 2024,bosbaan,voorjaarsregatta
98,5,424.24,12:07,13 april 2024,bosbaan,voorjaarsregatta
99,6,427.98,12:07,13 april 2024,bosbaan,voorjaarsregatta
100,4,454.8,12:07,13 april 2024,bosbaan,voorjaarsregatta
