,baan,finish,time_of_race,date,venue,event_name
0,2,480.69,09:25,29 juni 2024,wab,nwr
1,3,485.69,09:25,29 juni 2024,wab,nwr
2,5,490.55,09:25,29 juni 2024,wab,nwr
3,4,492.02,09:25,29 juni 2024,wab,nwr
4,6,497.92,09:25,29 juni 2024,wab,nwr
5,3,464.42,09:30,29 juni 2024,wab,nwr
6,2,469.44,09:30,29 juni 2024,wab,nwr
7,7,475.59,09:30,29 juni 2024,wab,nwr
8,6,476.73,09:30,29 juni 2024,wab,nwr
9,4,489.58,09:30,29 juni 2024,wab,nwr
10,5,502.53,09:30,29 juni 2024,wab,nwr
11,6,458.03,09:35,29 juni 2024,wab,nwr
12,2,466.61,09:35,29 juni 2024,wab,nwr
13,7,474.79,09:35,29 juni 2024,wab,nwr
14,3,481.63,09:35,29 juni 2024,wab,nwr
15,5,482.46,09:35,29 juni 2024,wab,nwr
16,8,492.3,09:35,29 juni 2024,wab,nwr
17,4,516.74,09:35,29 juni 2024,wab,nwr
18,1,,09:35,29 juni 2024,wab,nwr
19,2,460.27,09:40,29 juni 2024,wab,nwr
20,7,465.9,09:40,29 juni 2024,wab,nwr
21,4,469.87,09:40,29 juni 2024,wab,nwr
22,6,473.4,09:40,29 juni 2024,wab,nwr
23,3,483.12,09:40,29 juni 2024,wab,nwr
24,1,496.58,09:40,29 juni 2024,wab,nwr
25,5,,09:40,29 juni 2024,wab,nwr
26,3,446.86,09:45,29 juni 2024,wab,nwr
27,5,461.25,09:45,29 juni 2024,wab,nwr
28,6,466.47,09:45,29 juni 2024,wab,nwr
29,4,471.78,09:45,29 juni 2024,wab,nwr
30,4,444.2,09:50,29 juni 2024,wab,nwr
31,2,449.08,09:50,29 juni 2024,wab,nwr
32,5,449.85,09:50,29 juni 2024,wab,nwr
33,6,456.48,09:50,29 juni 2024,wab,nwr
34,3,456.68,09:50,29 juni 2024,wab,nwr
35,7,465.02,09:55,29 juni 2024,wab,nwr
36,4,469.8,09:55,29 juni 2024,wab,nwr
37,3,482.09,09:55,29 juni 2024,wab,nwr
38,6,484.34,09:55,29 juni 2024,wab,nwr
39,2,484.97,09:55,29 juni 2024,wab,nwr
40,5,493.89,09:55,29 juni 2024,wab,nwr
41,4,463.07,10:00,29 juni 2024,wab,nwr
42,7,467.01,10:00,29 juni 2024,wab,nwr
43,5,471.45,10:00,29 juni 2024,wab,nwr
44,3,473.99,10:00,29 juni 2024,wab,nwr
45,2,476.2,10:00,29 juni 2024,wab,nwr
46,6,487.99,10:00,29 juni 2024,wab,nwr
47,5,451.84,10:05,29 juni 2024,wab,nwr
48,4,459.29,10:05,29 juni 2024,wab,nwr
49,2,461.75,10:05,29 juni 2024,wab,nwr
50,6,462.5,10:05,29 juni 2024,wab,nwr
51,3,467.92,10:05,29 juni 2024,wab,nwr
52,6,443.48,10:10,29 juni 2024,wab,nwr
53,4,444.16,10:10,29 juni 2024,wab,nwr
54,5,466.95,10:10,29 juni 2024,wab,nwr
55,3,474.05,10:10,29 juni 2024,wab,nwr
56,2,486.02,10:10,29 juni 2024,wab,nwr
57,3,516.32,10:15,29 juni 2024,wab,nwr
58,6,518.77,10:15,29 juni 2024,wab,nwr
59,4,519.6,10:15,29 juni 2024,wab,nwr
60,5,527.48,10:15,29 juni 2024,wab,nwr
61,4,506.51,10:20,29 juni 2024,wab,nwr
62,3,519.9,10:20,29 juni 2024,wab,nwr
63,6,525.44,10:20,29 juni 2024,wab,nwr
64,7,531.87,10:20,29 juni 2024,wab,nwr
65,5,538.53,10:20,29 juni 2024,wab,nwr
66,5,432.21,10:25,29 juni 2024,wab,nwr
67,4,434.32,10:25,29 juni 2024,wab,nwr
68,6,445.36,10:25,29 juni 2024,wab,nwr
69,3,460.63,10:25,29 juni 2024,wab,nwr
70,4,438.73,10:30,29 juni 2024,wab,nwr
71,5,441.13,10:30,29 juni 2024,wab,nwr
72,6,444.71,10:30,29 juni 2024,wab,nwr
73,3,456.01,10:30,29 juni 2024,wab,nwr
74,3,437.13,10:35,29 juni 2024,wab,nwr
75,5,438.63,10:35,29 juni 2024,wab,nwr
76,6,440.03,10:35,29 juni 2024,wab,nwr
77,4,443.28,10:35,29 juni 2024,wab,nwr
78,7,464.31,10:35,29 juni 2024,wab,nwr
79,5,462.18,10:55,29 juni 2024,wab,nwr
80,6,470.21,10:55,29 juni 2024,wab,nwr
81,2,476.15,10:55,29 juni 2024,wab,nwr
82,7,477.32,10:55,29 juni 2024,wab,nwr
83,4,478.86,10:55,29 juni 2024,wab,nwr
84,3,483.13,10:55,29 juni 2024,wab,nwr
85,7,459.03,11:00,29 juni 2024,wab,nwr
86,3,470.3,11:00,29 juni 2024,wab,nwr
87,2,473.92,11:00,29 juni 2024,wab,nwr
88,4,477.37,11:00,29 juni 2024,wab,nwr
89,6,490.68,11:00,29 juni 2024,wab,nwr
90,5,496.13,11:00,29 juni 2024,wab,nwr
91,3,400.03,11:05,29 juni 2024,wab,nwr
92,4,403.59,11:05,29 juni 2024,wab,nwr
93,6,415.96,11:05,29 juni 2024,wab,nwr
94,5,422.61,11:05,29 juni 2024,wab,nwr
95,6,393.93,11:10,29 juni 2024,wab,nwr
96,5,395.52,11:10,29 juni 2024,wab,nwr
97,3,396.27,11:10,29 juni 2024,wab,nwr
98,4,397.09,11:10,29 juni 2024,wab,nwr
99,3,390.49,11:15,29 juni 2024,wab,nwr
100,7,396.57,11:15,29 juni 2024,wab,nwr
101,6,398.31,11:15,29 juni 2024,wab,nwr
102,5,401.46,11:15,29 juni 2024,wab,nwr
103,5,441.06,11:20,29 juni 2024,wab,nwr
104,4,451.98,11:20,29 juni 2024,wab,nwr
105,3,455.53,11:20,29 juni 2024,wab,nwr
106,5,424.25,11:25,29 juni 2024,wab,nwr
107,3,433.27,11:25,29 juni 2024,wab,nwr
108,6,438.39,11:25,29 juni 2024,wab,nwr
109,4,461.24,11:25,29 juni 2024,wab,nwr
110,5,464.1,11:30,29 juni 2024,wab,nwr
111,6,468.78,11:30,29 juni 2024,wab,nwr
112,4,498.69,11:30,29 juni 2024,wab,nwr
113,2,468.65,11:35,29 juni 2024,wab,nwr
114,4,473.47,11:35,29 juni 2024,wab,nwr
115,5,482.37,11:35,29 juni 2024,wab,nwr
116,6,395.2,11:40,29 juni 2024,wab,nwr
117,4,399.74,11:40,29 juni 2024,wab,nwr
118,5,402.88,11:40,29 juni 2024,wab,nwr
119,3,413.4,11:40,29 juni 2024,wab,nwr
120,3,392.44,11:45,29 juni 2024,wab,nwr
121,4,396.1,11:45,29 juni 2024,wab,nwr
122,5,411.99,11:45,29 juni 2024,wab,nwr
123,6,419.7,11:45,29 juni 2024,wab,nwr
124,7,423.03,11:45,29 juni 2024,wab,nwr
125,2,431.52,11:55,29 juni 2024,wab,nwr
126,6,438.44,11:55,29 juni 2024,wab,nwr
127,5,444.39,11:55,29 juni 2024,wab,nwr
128,3,446.86,11:55,29 juni 2024,wab,nwr
129,4,448.8,11:55,29 juni 2024,wab,nwr
130,4,444.04,12:00,29 juni 2024,wab,nwr
131,5,449.13,12:00,29 juni 2024,wab,nwr
132,3,459.16,12:00,29 juni 2024,wab,nwr
133,6,464.0,12:00,29 juni 2024,wab,nwr
134,2,476.32,12:00,29 juni 2024,wab,nwr
135,7,487.81,12:00,29 juni 2024,wab,nwr
136,5,373.2,12:05,29 juni 2024,wab,nwr
137,4,379.75,12:05,29 juni 2024,wab,nwr
138,3,385.39,12:05,29 juni 2024,wab,nwr
139,6,404.22,12:05,29 juni 2024,wab,nwr
140,3,374.6,12:10,29 juni 2024,wab,nwr
141,7,379.91,12:10,29 juni 2024,wab,nwr
142,6,381.94,12:10,29 juni 2024,wab,nwr
143,5,384.09,12:10,29 juni 2024,wab,nwr
144,4,386.28,12:10,29 juni 2024,wab,nwr
145,5,543.76,12:15,29 juni 2024,wab,nwr
146,2,556.2,12:15,29 juni 2024,wab,nwr
