,baan,finish,time_of_race,date,venue,event_name
0,2,538.83,09:30,20 mei 2023,wab,westelijke
1,4,566.82,09:30,20 mei 2023,wab,westelijke
2,3,576.67,09:30,20 mei 2023,wab,westelijke
3,4,512.5,09:35,20 mei 2023,wab,westelijke
4,5,523.55,09:35,20 mei 2023,wab,westelijke
5,2,533.49,09:35,20 mei 2023,wab,westelijke
6,3,543.4,09:35,20 mei 2023,wab,westelijke
7,5,526.75,09:40,20 mei 2023,wab,westelijke
8,2,534.69,09:40,20 mei 2023,wab,westelijke
9,4,536.75,09:40,20 mei 2023,wab,westelijke
10,3,553.63,09:40,20 mei 2023,wab,westelijke
11,1,561.05,09:40,20 mei 2023,wab,westelijke
12,4,534.2,09:45,20 mei 2023,wab,westelijke
13,2,538.57,09:45,20 mei 2023,wab,westelijke
14,3,551.52,09:45,20 mei 2023,wab,westelijke
15,5,568.59,09:45,20 mei 2023,wab,westelijke
16,1,611.04,09:45,20 mei 2023,wab,westelijke
17,3,510.72,09:50,20 mei 2023,wab,westelijke
18,1,521.42,09:50,20 mei 2023,wab,westelijke
19,6,527.07,09:50,20 mei 2023,wab,westelijke
20,5,537.62,09:50,20 mei 2023,wab,westelijke
21,4,565.73,09:50,20 mei 2023,wab,westelijke
22,2,576.7,09:50,20 mei 2023,wab,westelijke
23,4,483.87,09:55,20 mei 2023,wab,westelijke
24,3,491.61,09:55,20 mei 2023,wab,westelijke
25,1,498.16,09:55,20 mei 2023,wab,westelijke
26,5,505.58,09:55,20 mei 2023,wab,westelijke
27,2,506.05,09:55,20 mei 2023,wab,westelijke
28,6,476.98,10:00,20 mei 2023,wab,westelijke
29,4,485.16,10:00,20 mei 2023,wab,westelijke
30,2,488.56,10:00,20 mei 2023,wab,westelijke
31,1,493.8,10:00,20 mei 2023,wab,westelijke
32,5,496.84,10:00,20 mei 2023,wab,westelijke
33,3,497.54,10:00,20 mei 2023,wab,westelijke
34,2,509.63,10:05,20 mei 2023,wab,westelijke
35,4,514.55,10:05,20 mei 2023,wab,westelijke
